 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	466.440	0.826	1.072	0.933	0.940	24.370	7578.040
2	489.101	0.843	1.009	0.991	0.952	24.955	8136.940
3	541.250	0.820	1.060	0.944	0.961	26.251	9472.415
4	755.804	0.820	1.051	0.951	0.945	31.021	15630.655
5	504.208	0.834	1.089	0.919	0.960	25.337	8516.838
6	519.751	0.824	1.114	0.898	0.946	25.725	8913.678
7	593.254	0.841	1.001	0.999	0.956	27.484	10869.887
8	553.016	0.805	1.039	0.963	0.950	26.535	9782.971
9	570.157	0.809	1.087	0.920	0.952	26.943	10241.320
10	602.842	0.802	1.096	0.913	0.952	27.705	11134.445
11	536.892	0.800	1.120	0.893	0.944	26.146	9358.245
12	555.486	0.803	1.054	0.948	0.941	26.594	9848.572
13	559.117	0.824	1.057	0.946	0.952	26.681	9945.310
14	542.557	0.815	1.020	0.981	0.951	26.283	9506.756
15	591.802	0.832	1.024	0.977	0.959	27.450	10829.988
16	486.050	0.840	1.102	0.908	0.960	24.877	8060.934
17	605.602	0.869	1.074	0.931	0.965	27.768	11210.998
18	568.850	0.815	1.060	0.943	0.950	26.912	10206.115
19	534.713	0.805	1.033	0.968	0.941	26.092	9301.333
20	555.486	0.807	1.007	0.993	0.949	26.594	9848.572
21	542.993	0.848	1.031	0.970	0.955	26.294	9518.212
22	557.084	0.811	1.072	0.933	0.950	26.633	9891.098
23	551.128	0.836	1.091	0.917	0.959	26.490	9732.904
24	524.400	0.873	1.047	0.955	0.962	25.840	9033.525
25	564.347	0.820	1.079	0.927	0.945	26.806	10085.164
26	477.915	0.813	1.189	0.841	0.949	24.668	7859.416
27	518.734	0.832	1.120	0.893	0.957	25.700	8887.533
28	594.126	0.818	1.126	0.888	0.949	27.504	10893.850
29	521.785	0.812	1.046	0.956	0.950	25.775	8966.045
30	593.545	0.814	1.046	0.956	0.948	27.490	10877.873
31	545.463	0.831	1.059	0.944	0.949	26.353	9583.218
32	586.717	0.829	1.041	0.960	0.954	27.332	10690.727
33	629.570	0.841	1.018	0.983	0.956	28.312	11883.101
34	628.263	0.842	1.014	0.987	0.959	28.283	11846.106
35	554.614	0.845	1.056	0.947	0.955	26.574	9825.402
36	453.075	0.833	1.054	0.949	0.950	24.018	7254.701
37	502.901	0.819	1.114	0.898	0.950	25.304	8483.734
38	508.275	0.808	1.047	0.955	0.954	25.439	8620.101
39	576.985	0.809	1.041	0.961	0.951	27.104	10425.822
40	559.989	0.814	1.089	0.918	0.948	26.702	9968.574
41	513.360	0.807	1.126	0.888	0.952	25.566	8749.762
42	575.823	0.813	1.042	0.960	0.950	27.077	10394.340
43	524.835	0.818	1.106	0.904	0.949	25.850	9044.788
44	594.997	0.826	1.057	0.946	0.953	27.524	10917.831
45	586.136	0.824	1.026	0.975	0.957	27.318	10674.849
46	543.284	0.837	1.013	0.987	0.965	26.301	9525.852
47	616.787	0.850	1.033	0.968	0.961	28.024	11523.023
48	554.324	0.817	1.149	0.871	0.951	26.567	9817.683
49	560.715	0.835	1.036	0.965	0.955	26.719	9987.974
50	517.572	0.821	1.124	0.890	0.947	25.671	8857.684
51	519.025	0.801	1.068	0.936	0.948	25.707	8895.000
52	530.355	0.802	1.085	0.922	0.943	25.986	9187.856
53	698.425	0.834	1.111	0.900	0.958	29.820	13884.912
54	575.532	0.806	1.070	0.934	0.948	27.070	10386.474
55	502.901	0.817	1.109	0.902	0.943	25.304	8483.734
56	491.280	0.819	1.115	0.897	0.956	25.010	8191.376
57	622.743	0.826	1.065	0.939	0.950	28.158	11690.327
58	513.214	0.833	1.043	0.959	0.954	25.563	8746.049
59	539.507	0.814	1.094	0.914	0.949	26.209	9426.692
60	602.115	0.822	1.027	0.974	0.953	27.688	11114.329
61	501.448	0.869	1.062	0.942	0.967	25.268	8447.003
62	484.743	0.807	1.029	0.971	0.950	24.843	8028.432
63	539.797	0.807	1.069	0.936	0.953	26.216	9434.307
64	545.172	0.848	1.022	0.979	0.961	26.346	9575.562
65	540.378	0.835	1.073	0.932	0.950	26.230	9449.544
66	569.867	0.833	1.033	0.968	0.949	26.937	10233.493
67	619.402	0.819	1.031	0.970	0.964	28.083	11596.375
68	513.795	0.823	1.018	0.982	0.953	25.577	8760.906
69	578.147	0.801	1.040	0.962	0.949	27.132	10457.336
70	571.465	0.828	1.122	0.891	0.960	26.974	10276.565
71	574.370	0.844	1.075	0.930	0.958	27.043	10355.032
72	533.551	0.817	1.089	0.918	0.953	26.064	9271.027
73	581.924	0.816	1.045	0.957	0.947	27.220	10559.974
74	545.898	0.806	1.032	0.969	0.951	26.364	9594.705
75	586.717	0.811	1.010	0.990	0.948	27.332	10690.727
76	553.597	0.834	1.038	0.964	0.956	26.549	9798.393
