"d","density"
10.05,0.000800320128051223
10.15,0
10.25,0
10.35,0
10.45,0
10.55,0
10.65,0.000800320128051223
10.75,0
10.85,0.00240096038415367
10.95,0
11.05,0
11.15,0
11.25,0
11.35,0.000800320128051223
11.45,0.000800320128051223
11.55,0
11.65,0
11.75,0
11.85,0
11.95,0
12.05,0.000800320128051209
12.15,0
12.25,0
12.35,0.000800320128051223
12.45,0
12.55,0
12.65,0
12.75,0
12.85,0
12.95,0
13.05,0
13.15,0.000800320128051223
13.25,0
13.35,0.000800320128051223
13.45,0
13.55,0
13.65,0
13.75,0
13.85,0
13.95,0
14.05,0
14.15,0
14.25,0.000800320128051223
14.35,0
14.45,0
14.55,0
14.65,0
14.75,0
14.85,0
14.95,0
15.05,0
15.15,0
15.25,0
15.35,0
15.45,0
15.55,0
15.65,0.00160064025610245
15.75,0
15.85,0
15.95,0
16.05,0
16.15,0
16.25,0
16.35,0
16.45,0
16.55,0
16.65,0
16.75,0
16.85,0
16.95,0
17.05,0
17.15,0
17.25,0
17.35,0
17.45,0
17.55,0
17.65,0
17.75,0
17.85,0
17.95,0.000800320128051238
18.05,0
18.15,0
18.25,0
18.35,0
18.45,0
18.55,0
18.65,0
18.75,0
18.85,0
18.95,0
19.05,0
19.15,0.000800320128051209
19.25,0
19.35,0
19.45,0.000800320128051238
19.55,0.000800320128051209
19.65,0
19.75,0
19.85,0
19.95,0
20.05,0
20.15,0
20.25,0
20.35,0
20.45,0
20.55,0.000800320128051209
20.65,0.000800320128051209
20.75,0
20.85,0
20.95,0
21.05,0.000800320128051209
21.15,0
21.25,0
21.35,0.000800320128051238
21.45,0.000800320128051238
21.55,0.00160064025610242
21.65,0.00240096038415363
21.75,0.00160064025610242
21.85,0
21.95,0.000800320128051238
22.05,0.000800320128051209
22.15,0.00160064025610242
22.25,0.00160064025610242
22.35,0.000800320128051238
22.45,0.00240096038415371
22.55,0.00400160064025605
22.65,0.00480192076830725
22.75,0.00480192076830725
22.85,0.00400160064025619
22.95,0.00320128051220495
23.05,0.00560224089635846
23.15,0.00400160064025605
23.25,0.00800320128051209
23.35,0.0128051220488198
23.45,0.00480192076830742
23.55,0.00800320128051209
23.65,0.0120048019207681
23.75,0.0104041616646657
23.85,0.013605442176871
23.95,0.0208083233293314
24.05,0.0200080032012809
24.15,0.019207683073229
24.25,0.0240096038415363
24.35,0.030412164865947
24.45,0.0320128051220484
24.55,0.0368147258903569
24.65,0.0448179271708677
24.75,0.0576230492196871
24.85,0.0760304121648676
24.95,0.0936374549819915
25.05,0.0992396958783534
25.15,0.11284513805522
25.25,0.15206082432973
25.35,0.179271708683477
25.45,0.180072028811522
25.55,0.216086434573834
25.65,0.23849539815926
25.75,0.255302120848336
25.85,0.304921968787511
25.95,0.330532212885161
26.05,0.355342136854749
26.15,0.367346938775505
26.25,0.398559423769502
26.35,0.379351740696287
26.45,0.400960384153656
26.55,0.392156862745092
26.65,0.396958783513414
26.75,0.419367747098834
26.85,0.352140856342544
26.95,0.387354941976785
27.05,0.376950780312119
27.15,0.345738295318135
27.25,0.327330932372945
27.35,0.280112044817933
27.45,0.268107242897155
27.55,0.244097639055619
27.65,0.199279711884758
27.75,0.17206882753101
27.85,0.159263705482196
27.95,0.141656662665064
28.05,0.126450580232091
28.15,0.10324129651861
28.25,0.084033613445377
28.35,0.0880352140856361
28.45,0.0696278511404552
28.55,0.0464185674269701
28.65,0.0512204881952792
28.75,0.038415366146458
28.85,0.0312124849939983
28.95,0.034413765506202
29.05,0.0256102440976387
29.15,0.0248099239695884
29.25,0.0168067226890754
29.35,0.013605442176871
29.45,0.0104041616646657
29.55,0.0112044817927169
29.65,0.00880352140856361
29.75,0.00800320128051209
29.85,0.00800320128051238
29.95,0.0128051220488193
30.05,0.00720288115246088
30.15,0.00560224089635866
30.25,0.00720288115246088
30.35,0.00480192076830725
30.45,0.00720288115246114
30.55,0.00480192076830725
30.65,0.00160064025610248
30.75,0.00160064025610242
30.85,0.00640256102440967
30.95,0.00400160064025619
31.05,0.00560224089635846
31.15,0.00480192076830742
31.25,0.00960384153661451
31.35,0.00160064025610242
31.45,0
31.55,0.00320128051220484
31.65,0.00160064025610248
31.75,0.00160064025610242
31.85,0.00240096038415363
31.95,0.0048019207683076
32.05,0.00480192076830691
32.15,0.00320128051220506
32.25,0.00240096038415363
32.35,0.00240096038415363
32.45,0.000800320128051266
